"","person","message","debate","date"
"38","HARWOOD","Senator Graham, thank you very much. Becky?","2016RUndercardBoulderCO",2015-10-28
"40","QUICK","Governor Jindal, let's talk a little bit about the news of the day. Just a few hours ago, the Republicans and the Democrats in the House voted on a budget deal that will increase spending by about $80 billion dollars over the next two years. You, however, have called the Republicans who have been willing to work with the Democrats to do things like this the, ""Surrender Party of the Republican caucus."" Would you have shut the government down instead?","2016RUndercardBoulderCO",2015-10-28
"43","JINDAL","Well, look, I think that's a false choice. I think this is a very bad deal. Whenever they tell us in D.C. they're going to cut tomorrow, that means they're never going to cut. Tomorrow never seems to happen. Instead, why don't we actually follow our conservative principles? Why not insist on structural reforms? Why not cut spending? I don't mean strength (ph) the growth rate, I mean, actually spend less. Why not a balanced budget in the amendment — an amendment to the Constitution? Why not a super-majority vote before they grow our taxes, before they grow the government faster than the economy? Let's be honest, $18 trillion dollars of debt. Record low participation rate in the workforce, record number of Americans on food stamps. We are going the way of Europe. The left is trying to turn the American Dream into the European Nightmare. If you're a Republican...","2016RUndercardBoulderCO",2015-10-28
"44","QUICK","...But Governor...","2016RUndercardBoulderCO",2015-10-28
"45","JINDAL","...[inaudible] willing to stand up and fight...","2016RUndercardBoulderCO",2015-10-28
"46","QUICK","...if you didn't have a choice, if you didn't control things in the house, would you take the choice of shutting things down, or would you go ahead and agree with them?","2016RUndercardBoulderCO",2015-10-28
"47","JINDAL","I think that's a false choice. If I were — I were to lead, we would pass a conservative budget, challenge the President to do the right thing. And, here's the problem, the Republicans never want to fight. Give Pelosi and Reed credit, they forced Obamacare and socialism down our throats, why won't the Republicans fight half as hard for freedom and opportunity. This was a bad budget.","2016RUndercardBoulderCO",2015-10-28
"48","QUICK","Governor, thank you.","2016RUndercardBoulderCO",2015-10-28
"49","PATAKI","Becky, can I comment on this question?","2016RUndercardBoulderCO",2015-10-28
"50","HARWOOD","Just hold on, Governor Pataki, we're going to go to Senator Graham on this question because we believe you are likely to be the only person on this stage tonight who supports this budget deal. Now, you just heard Governor Jindal say that it's a phony deal, it doesn't do anything, and people like you are surrendering rather than fighting by supporting it. Why is he wrong?","2016RUndercardBoulderCO",2015-10-28
"53","GRAHAM","Well, let me tell you what is real. The threat to our homeland. I've never seen so many threats to our homeland than I do today. Barack Obama is an incompetent Commander in Chief. There are more terrorist organizations with safe havens to attack the American homeland than anytime since 9/11. We're in the process of reducing our defense spending by half. I am looking at this budget with one view in mind, will it restore the ability to defend this nation. We're on track to have the smallest army since 1940, the smallest navy since 1915, this budget, if it is paid for, will put $40 billion dollars back in the defense department at a time we need it. The number one role of the federal government's to defend this nation, I intend to be a Commander in Chief that can win a war we cannot afford to lose.","2016RUndercardBoulderCO",2015-10-28
"54","HARWOOD","Thank you, Senator Graham...","2016RUndercardBoulderCO",2015-10-28
"56","PATAKI","...John, can I quickly comment on this one... [crosstalk]","2016RUndercardBoulderCO",2015-10-28
"57","HARWOOD","...Governor, we're going to get to you in just a moment, we're going to try to keep this shorter...","2016RUndercardBoulderCO",2015-10-28
"58","PATAKI","...But, I want to speak on this issue...","2016RUndercardBoulderCO",2015-10-28
"59","QUINTANILLA","...Question, in the meantime, for Senator Santorum. You have advocated a flat tax, so we'd like to ask you about fairness. Why is it fair to tax all Americans at the same rate, as opposed to taxing more affluent Americans at higher rates?","2016RUndercardBoulderCO",2015-10-28
"63","SANTORUM","Well, if you look at my flat tax, it actually takes the best of what Steve Forbes, Art Laffer, many have been advocating for a long time, which is a very strong pro-growth tax code — very simple. And, it adjusts it to make sure that it is not regressive. We have a $2,750 per person tax credit — that's $2,750 off the taxes due, not a deduction, a credit. And, we think — in fact, if you run the numbers, no American who's going to be paying more taxes under our proposal, so, we've accomplished both. We have a system that has a low single rate, but we take care of American families. I'm talking about $2,750 per person. That means a family four, that's $11,000 dollar tax credit. That's a very, very strong pro-family — and if you looked at the Wall Street Journal today, and so many of the publications that have been out there, they've talked about how the biggest problem of the hollowing out of the middle of this country. For workers to be able to raise is actually, the breakdown of the American family. William Galston, a liberal, said that on the pages of the Wall Street Journal today that the key to poverty is families. So, we put forth a pro-growth — Steve Forbes plan, combined it with a pro- family plan, and that's why I think it's going to work out, and work effectively.","2016RUndercardBoulderCO",2015-10-28
"64","QUINTANILLA","Senator, thank you. John — Becky?","2016RUndercardBoulderCO",2015-10-28
"65","QUICK","Governor Pataki, let's get to your point. You wanted to make a comment on the budget. You want to get in on the idea, what would you do if you were in Washington? Would you compromise...","2016RUndercardBoulderCO",2015-10-28
"67","PATAKI","...I think it was a bad deal, but I would have voted for it for a very simple reason. Barack Obama is the first president in American history to hold our military hostage. He knew that we needed funding for overseas contingency operations, $40 million dollars that would go to support our troops. And, he was prepared, and had vetoed it, unless this deal went through. I have two sons, they both served overseas. One in Iraq, and one in Afghanistan, and I understand that we have got to do far more to help our military, help our veterans, and help protect our security. This is a bad deal, but to protect our military, I would have signed it. Uh, it's not going to be the case, if I have a chance to lead this country, we're going to reduce the deficit, shrink the government, lower the tax burden and grow the private sector because that's how you solve deficits.","2016RUndercardBoulderCO",2015-10-28
"69","QUICK","Governor Pataki, thank you. John?","2016RUndercardBoulderCO",2015-10-28
"70","PATAKI","Thank you.","2016RUndercardBoulderCO",2015-10-28
"73","HARWOOD","Governor Jindal, a question about fiscal policy, especially since you noted that this deal doesn't solve the long-term debt situation. When you came into office with a budget surplus in the state of Louisiana, now, years later, the state legislature faced a $1.6 billion budget gap and the Republican state treasurer called one of your approaches to that problem ""nonsense on a stick,"" quoting him. Are you going to do for the federal budget what you did for the Louisiana budget?","2016RUndercardBoulderCO",2015-10-28
"81","JINDAL","Absolutely, Jhon. And what we did is we cut state spending. We've cut our budget 26 percent, according to Cato and other analysis, the only candidate that's actually reduced government spending. Look, the left always complains there's not enough money for government. We have 30,000 fewer state employees than the day I took office, eight credit upgrades, we're a top 10 state for private sector job creation. We've got a choice. You grow the government economy or the American economy. When I became governor, we had 25 years in a row of outmigration. We were coming back from Katrina. The question many were asking, will Louisiana rebuild, should Louisiana rebuild? Seven years in a row, more people moving into the state than were leaving the state. We now have more people working than ever before, erg a higher income than ever before. Yes, we've reduced the size of government. That's exactly what we need to do in DC. In DC, the Republicans slowed the growth rate, they claimed victory. That's not enough. Let's be honest with where we are today. We are running off of a cliff. Look, we'll be the next Greece and we can talk and we can rearrange the chairs. Over over $18 trillion of debt, no wonder our economy has been stagnant. We haven't had real growth. If you're a young student here, you've not seen a robust American economy.","2016RUndercardBoulderCO",2015-10-28
"82","HARWOOD","But Governor Jindal, as you know, many Republicans are opposed to the approach that you've taken in Louisiana. They complain that you have tried so hard to avoid anything that could be called a tax increase so that you could run for president saying you'd never raised taxes, David Vitter, the Republican who's now running to succeed you, has told voters, I won't be like Jindal, I'm not using the governorship as a stepping stone to higher office.","2016RUndercardBoulderCO",2015-10-28
"87","JINDAL","Well, Jhon, a couple of things. Not only did we not raise taxes, we did the largest income tax cut in the state's history. And I'm proud of that record. I think that's the kind of leadership voters want in DC. Look, if you want a Republican that's going go grow government spending, if you want a — a president or if you want a candidate who's going to income taxes, I'm not your guy. If you want somebody that's going to do and say the things that can't be said, can't be done, I'm asking a vote for me to join my cause. That's how dangerous these times are. This is — this is a — this is — these are dangerous times for America. I think we have a chance to rescue the idea of America, but if we don't do it now, four years will be too late from now. So, yes, I'm proud we cut taxes, we cut spending, 30,000 fewer state government bureaucrats than the day I took office. I absolutely will do that in DC.","2016RUndercardBoulderCO",2015-10-28
"88","HARWOOD","Governor Jindal, thank you.","2016RUndercardBoulderCO",2015-10-28
"89","JINDAL","Thank you.","2016RUndercardBoulderCO",2015-10-28
"92","HARWOOD","We're going to take a quick break. The Republican presidential debate continues live from Boulder, Colorado in a moment. [applause] [commercial break]","2016RUndercardBoulderCO",2015-10-28
"93","QUINTANILLA","Welcome back to the Republican presidential debate live in boulder, Colorado, on cNBC. We resume our questions now with Jim Cramer, the host of CNBC's Mad Money.","2016RUndercardBoulderCO",2015-10-28
"95","CRAMER","Thank you. Governor Pataki, in the wake of the Sony hack last year, you said, quote, ""at the very least, we should declare cyber-war on North Korea."" What does a cyber-war look like? And if our companies are getting attacked by foreign governments, do we need a military response?","2016RUndercardBoulderCO",2015-10-28
"100","PATAKI","No, I don't think we need a military response, but we need a coordinated response. And I have to say that I think the Obama administration has been completely lax, to say the least, in dealing with these cyber-attacks, not just by governments like North Korea, but by, particularly, Chinese and other companies. And what I would do is put in place a policy where if we know a company, say, a Chinese company, is hacking into American companies, stealing trade secrets, as we know they do every day, we will retaliate against that company and say that that company's not going to be allowed to continue to do trade with the United States. I would also look at what we're doing at the federal level and put in place what Israel has done: a — one federal agency dealing with cybersecurity and charged with working across silos to make sure we have the best technology. And, Jim, I've gotta tell you something, talking about cybersecurity. Hillary Clinton put a server, an unsecure server, in her home as secretary of state. We have no doubt that that was hacked, and that state secrets are out there to the Iranians, the Russians, the Chinese and others. That alone should disqualify her from being president of the United States. [applause]","2016RUndercardBoulderCO",2015-10-28
"101","CRAMER","Senator Graham, you're a hawk. Was that tough enough?","2016RUndercardBoulderCO",2015-10-28
"104","GRAHAM","Here's the problem. We're being walked all over because our commander in chief is weak in the eyes of our enemies. Do you think Putin would be in the Ukraine today if Ronald Reagan were president? Why are the Chinese stealing our intellectual property, hacking into our system? Why are they building islands over resource-rich waters? Because they can get away with it. At the end of the day, ladies and gentlemen, the foreign policy of Barack Obama needs to be replaced, and the last person you want to find to replace his foreign policy is his secretary of state. So to the Chinese, when it comes to dealing with me, you've got a clenched fist or an open hand. You pick. The party's over, to all the dictators. Make me commander-in-chief and this crap stops. [applause]","2016RUndercardBoulderCO",2015-10-28
"106","CRAMER","Thank you, Senator. Senator Santorum. We know that a troubling amount of air pollution on the west coast comes from China. Should we enact a pollution tax on products imported from China and give our manufacturers a level playing field?","2016RUndercardBoulderCO",2015-10-28
"112","SANTORUM","What we should be — we shouldn't be putting tariffs on anything. That hurts working men and women in this country. What we should be doing is making our manufacturing more competitive. One of the reasons I introduced the 20/20 plan, a 20 percent flat tax on corporations, as well as on individuals, is so we can be competitive, so we can bring those manufacturing jobs back. You want to talk about cutting pollution? You do a little back- of-the-envelope. We — we produce, per dollar of GDP, about one-fifth of the CO2 and other pollutants that China produces. So we're five times more efficient in producing goods here, as far as the environment — environment is concerned. Why don't we — if we really want to tackle environmental problems, global warming, what we need to do is take those jobs from China and bring them back here to the United States, employ workers in this country. We've lost two million jobs — two million jobs — under this administration in manufacturing — 15,000 manufacturers have left this country. Why? Because of bad tax policy, bad regulatory policy and, yes, bad trade policy. We need to have a president that's going to pledge, as I have — I'm going to make America the number-one manufacturer so working men and women can have good paying jobs again in America.","2016RUndercardBoulderCO",2015-10-28
"113","CRAMER","Thank you, Senator. John?","2016RUndercardBoulderCO",2015-10-28
"114","HARWOOD","Governor Jindal, Senator Santorum just raised the issue of corporate taxes, and cutting corporate taxes is very popular in your party because our rate, at 35 percent, is one of the highest in the world. But nobody has figured out how to identify a set of loopholes that would allow that tax rate to be lowered. So can you tell us specifically what loopholes you'd do away with?","2016RUndercardBoulderCO",2015-10-28
"115","JINDAL","Absolutely, John. I'd go further. My tax plan, like everybody's, like a lot of Republicans' — look, I'd get rid of the death penalty and the marriage penalty, and I'd simplify the brackets to 25 percent, 10 percent, 2 percent, so that an average middle-class family — a teacher marries a law enforcement official (ph)...","2016RUndercardBoulderCO",2015-10-28
"116","HARWOOD","We're talking corporate taxes.","2016RUndercardBoulderCO",2015-10-28
"123","JINDAL","...I — I'm gonna get that. Pays 25 percent today, would pay 10 percent under my plan. But my plan does three things different from other people's plans. One — remember, I said 2 percent. I think everybody should pay something, even if it's only 2 percent. That's the most important 2 percent in my plan. I know a lot of Republicans brag — y'all can clap, it doesn't scare me. Go ahead. I heard some people. There are millions of — there are millions of folks that wouldn't pay taxes in Jeb's plan and Trump's plan. I think that's a mistake. In terms of the corporate tax, secondly, I'd get rid of the corporate tax. We do have the highest corporate tax rate in the developed world. I'd get rid of it. I'd get rid of all the corporate welfare. Make the CEOs pay their same tax rates the way the rest of us do. And third, I'd purposely shrink the size of government. You know, that is a — that is an intentional feature of my plan. We've got a choice: do we grow government — the government economy, or the American economy? So I say get rid of the corporate tax, bring those jobs and investment here to the United States, stop sending jobs and investment overseas.","2016RUndercardBoulderCO",2015-10-28
"124","HARWOOD","Thanks, Governor. Becky?","2016RUndercardBoulderCO",2015-10-28
"126","QUICK","Governor Pataki, let's talk a little bit about what's happened on Wall Street. Some of your colleagues in the Republican Party, including some of the people on this stage, have bashed Wall Street. They say that it was largely responsible for the financial crisis. You're a former governor of New York, and you relied very heavily on Wall Street for income. Do you think they've gone too far?","2016RUndercardBoulderCO",2015-10-28
"128","PATAKI","I think they have gone too far. I think we've seen Wall Street really blossom and do very well while the rest of the country is struggling, and it's because we have this corrupt connection between Wall Street and Washington. And, John, you were just talking about what loopholes would you get rid of. I would get rid of virtually every single one of them. They cost American taxpayers $1.4 trillion a year. I would throw them all out.","2016RUndercardBoulderCO",2015-10-28
"129","HARWOOD","So the tax credit right now that we have for domestic manufacturing, which manufacturers say is...","2016RUndercardBoulderCO",2015-10-28
"130","PATAKI","No, I wouldn't. I was going to say...","2016RUndercardBoulderCO",2015-10-28
"131","HARWOOD","...important, you would get rid of that?","2016RUndercardBoulderCO",2015-10-28
"136","PATAKI","...no, I would keep — first, yes, but what I would do is ii would lower the tax on manufacturing to the lowest in the developed world — 12 percent. We all have plans. I have a plan. We all have plans. My plan, the Tax Foundation said, would create five and a half million new jobs over the next decade. The difference, though, is I will get my plan enacted because, when I was governor of New York, I passed sweeping tax code — cuts in a Democratic state with a Democratic legislature. I — you know, Bobby, you're talking about your tax cuts? I cut taxes more than everybody on this stage, more than everybody on the next stage, combined. By more than the other 49 states, in New York state. I don't just have a plan. I will enact tax cuts, get rid of those loopholes and make the system fairer for all Americans.","2016RUndercardBoulderCO",2015-10-28
"137","QUICK","Governor Pataki, thank you.","2016RUndercardBoulderCO",2015-10-28
"138","PATAKI","Thank you.","2016RUndercardBoulderCO",2015-10-28
"139","QUICK","Carl?","2016RUndercardBoulderCO",2015-10-28
"141","QUINTANILLA","Senator Graham. You have said you believe that climate change is real. You've said you accept tax increases as part of a budget deal with Democrats. You've co-sponsored a Senate immigration bill providing a path to citizenship for those in the country illegally. Are you in the wrong party's debate? [laughter]","2016RUndercardBoulderCO",2015-10-28
"153","GRAHAM","No, I — I think I'm trying to solve problems that somebody had better solve. Now, you don't have to believe that climate change is real. I have been to the Antarctic. I've been to Alaska. I'm not a scientist, and I've got the grades to prove it. [laughter] But I've talked to the climatologists of the world, and 90 percent of them are telling me that greenhouse gas effect is real. That we're heating up the planet. I just want a solution that would be good for the economy, that doesn't destroy it. I want to fix an immigration system. I'm not gonna tell you, if you like your doctor, you can keep it — keep him. Do you like your health care, you're gonna keep it. I'm tired of telling people things that they want to hear, that we know we're not gonna do. We're not gonna eliminate the corporate tax. But we can make it lower. We're going to fix immigration, only if we work together. I want to secure the border because, if we don't, we're going to get hurt and hit again. I want to fix a broken visa system. I want to increase legal immigration, because we're gonna have a shortage of workers over time. As to the 11 million, I want to talk about fixing the problem. We're not going to deport 11 million people and their legal citizen children. But we will deport felons. And those who stay will have to learn our language to stay, because I don't speak it well but look how far I've come. [crosstalk] At the end of the day, folks, I am trying to solve a problem and win an election. I am tired of losing. Good God, look who we're running against. The number one candidate on the other side thought she was flat broke after her and her husband were in the White House for eight years. The number two guy went to the Soviet Union on his honeymoon and I don't think he ever came back. [laughter] If we don't beat these people, who the hell are we going to beat? [crosstalk]","2016RUndercardBoulderCO",2015-10-28
"156","MALE","UNIDENTIFIED Senator, you're well over your minute but thank you for that. We will be back from Boulder, Colorado, in just a moment. [commercial break]","2016RUndercardBoulderCO",2015-10-28
"166","QUICK","Welcome back, everyone. This is the Republican Presidential Debate on CNBC, live from the University of Colorado. Senator Santorum, I'd like to go to you. You have talked an awful lot about how you want to protect American jobs by eliminating the number of immigrants who come into this country. But very recently, the CEO of Toll Brothers told that he can't get by without immigrants because they make up more than half of his workforce at this point. We're not talking about people who are making minimum wage but he can't find Americans who want to do these jobs for $20-an-hour-plus jobs. What would happen if your plans are successful? What happens and how would we fill that hole in the economy, that gap that's created? Well, as you know, Becky, we have the lowest labor participation rate in 50 years and we also have the slowest growth in wages in the history of our country, any 20-year period. In fact, the last quarter had the lowest wage growth ever recorded. And so you look at the fact that we've brought in 35 million — 35 million legal and illegal immigrants over the last 20 years, more than any period in American history, we have low wages, low participation waits. Maybe — rates. Maybe there's something going on like we aren't — we aren't — we don't have the — the right match, right? We don't — we aren't giving the training and the investment in our workers and we're bringing in people to compete against low wage workers. That's what's happening. We are — we have an immigration policy that Senator Graham supported that brings in even more low wage workers into this country. He says he wants to solve problems, that's great. But you're not solving problems for American wage earners. You're not solving problems for workers in America who have seen their wages flat line and have been disaffected enough to leave the workplace. We need to get better training and better skills, including vocational education and — and training in this — in those — and — and cut — community colleges. But the bottom line is, we have to make sure that we are not flooding this country... All right...","2016RUndercardBoulderCO",2015-10-28
"167","SANTORUM","— with competition...","2016RUndercardBoulderCO",2015-10-28
"168","QUICK","Senator, I'm sorry your minute is up.","2016RUndercardBoulderCO",2015-10-28
"169","SANTORUM","— for low wage workers.","2016RUndercardBoulderCO",2015-10-28
"170","QUICK","Thank you very much, Senator Santorum.","2016RUndercardBoulderCO",2015-10-28
"171","SANTORUM","[inaudible] and I...","2016RUndercardBoulderCO",2015-10-28
"172","QUICK","And Graham, Mr. Graham, yes, that was a question to you, too.","2016RUndercardBoulderCO",2015-10-28
"173","GRAHAM","The first thing...","2016RUndercardBoulderCO",2015-10-28
"174","QUICK","You have 30 seconds.","2016RUndercardBoulderCO",2015-10-28
"177","GRAHAM","— that we have to do is come to grips with the reality that we're facing as Americans. In 1950, there were 16 workers for every Social Security recipient. Today, there's three. In 20 years, there are two. I want to make sure that no American company leaves America because you can't find a worker. American workers always get the first preference. But if you can't find an American worker, after you advertise at a competitive wage, I don't want you to be at a loss. Bring people in based on merit. Let's take a broken immigration...","2016RUndercardBoulderCO",2015-10-28
"178","QUICK","Senator Graham, thank you.","2016RUndercardBoulderCO",2015-10-28
"179","GRAHAM","— system...","2016RUndercardBoulderCO",2015-10-28
"180","QUICK","I'm sorry. That's your 30 seconds...","2016RUndercardBoulderCO",2015-10-28
"181","GRAHAM","— and make a merit-based immigration system that will help our economy. We're going to need workers in the future.","2016RUndercardBoulderCO",2015-10-28
"182","QUICK","Senator Graham...","2016RUndercardBoulderCO",2015-10-28
"183","GRAHAM","Let's just choose rationally.","2016RUndercardBoulderCO",2015-10-28
"186","QUICK","Thank you, Senator. [crosstalk] Gentlemen, hold on a second.","2016RUndercardBoulderCO",2015-10-28
"187","PATAKI","Let me — let me try to get a word in edgewise.","2016RUndercardBoulderCO",2015-10-28
"188","QUICK","Go ahead,","2016RUndercardBoulderCO",2015-10-28
"189","SANTORUM","That's not what's happening.","2016RUndercardBoulderCO",2015-10-28
"190","PATAKI","In Washington, they talk over each other...","2016RUndercardBoulderCO",2015-10-28
"193","MALE","UNIDENTIFIED Each one... [crosstalk] UNIDENTIFIED Senator, let's — let's have — let Governor Pataki have a chance to speak.","2016RUndercardBoulderCO",2015-10-28
"198","PATAKI","Yes. Very simply, you guys talk over each other in Washington all the time. I'm not used to that. I listen when people talk. We have a skills gap. You mentioned the construction company. The construction industry says one of their biggest problems are they can't find the craftsmen to do the work. What we have to... [crosstalk] — do in America is honor blue collar work again. We have to honor the carpenter, the plumber, the electrician, who can actually build something and instead of just saying that a college degree live — delivers prestige, let's celebrate those who do things with their hands and elevate their skills using training in high school and community...","2016RUndercardBoulderCO",2015-10-28
"199","QUICK","Governor Pataki...","2016RUndercardBoulderCO",2015-10-28
"200","PATAKI","— colleges so that we can...","2016RUndercardBoulderCO",2015-10-28
"202","QUICK","— I'm sorry, that was a... [crosstalk]","2016RUndercardBoulderCO",2015-10-28
"203","PATAKI","— have a better quality workforce that we honor...","2016RUndercardBoulderCO",2015-10-28
"204","QUICK","Governor Pataki...","2016RUndercardBoulderCO",2015-10-28
"205","PATAKI","— as they build America's future.","2016RUndercardBoulderCO",2015-10-28
"207","QUICK","I'm sorry to talk over you, sir. That was a minute.","2016RUndercardBoulderCO",2015-10-28
"208","PATAKI","Thank you.","2016RUndercardBoulderCO",2015-10-28
"209","QUICK","Thank you very much.","2016RUndercardBoulderCO",2015-10-28
"210","PATAKI","Thank you.","2016RUndercardBoulderCO",2015-10-28
"211","QUICK","Carl?","2016RUndercardBoulderCO",2015-10-28
"213","QUINTANILLA","My question for Governor Jindal, Paul Ryan says he would take the speaker job if it did not take away from his family time. The Department of Labor says 13 percent of American workers are eligible for paid family leave and the U.S. is the only developed nation in the world not to have guaranteed paid maternity leave for new moms. Should the government work to change that?","2016RUndercardBoulderCO",2015-10-28
"227","JINDAL","Look, I think the government should work to change that, but that doesn't — does not mean I'm for the government mandating that. We already have too many government mandates out of DC. Do I want people to have paid leave? Sure. Do I want people to earn higher wages? Sure. Do I want them to have better benefits? Sure. The government can't wave a magic wand and make that happen. Here's the problem. The last seven years, President Obama has tried to teach the American people that government is the answer to all of our problems. Where has that gotten us? We're on a path toward socialism. The way that folks can get better paying jobs with better benefits is if we have a growing economy. That means to repeal all of ObamaCare, a lower flatter tax code. That means that we have an energy plan that makes sense. That means that we embrace an all of the above approach to energy. Those are good paying jobs — $50,000, $70,000, $90,000 a year jobs with benefits. But this president won't let us produce more energy on our domestic federal lands and waters. He won't allow the Canadians to build the Keystone Pipeline. He's got an EPA that's doing everything they can to kill private sector jobs in America. So, yes, I want families to have better paying jobs and better benefits, but we're not going to get that with a government mandate, we're going to get that with a growing economy.","2016RUndercardBoulderCO",2015-10-28
"229","QUINTANILLA","Governor, thank you. [applause] John?","2016RUndercardBoulderCO",2015-10-28
"233","HARWOOD","Senator Graham, Americans have gotten used to seeing headlines about more and more big corporations relocating overseas to cut their tax bill. Now, many in Washington think the way to stop that is to lower our corporate tax rate. But as we've seen, tax reform takes time. It hasn't happened yet. In the meantime, do you fault those companies for leaving? Do companies owe anything to their country, as well as their shareholders?","2016RUndercardBoulderCO",2015-10-28
"240","GRAHAM","We owe to every businessperson and worker in America the best environment in the world to create a job. We owe that to American businesses. Thirty-five percent corporate tax rate is the second highest in the world. We need to lower it so they don't leave. The goal is to help the middle class. We can talk about corporations all day long but my goal is to help the middle class, somebody who makes too much to be on government assistance but still lives paycheck to paycheck. When the kid gets sick you don't go on vacation. [crosstalk] That's the purpose of my presidency, to grow the economy here. And let me tell you, our Democratic friends have a list a mile long of more government. That's not going to grow the middle class, that's going to create a burden on your children, which they're already overburdened. The best way to grow the middle class is to make it a good place to create a job. You know why Boeing came to South Carolina when they could have gone anywhere to build the 787? Because we wanted them. We had a low-tax structure.","2016RUndercardBoulderCO",2015-10-28
"241","HARWOOD","Senator Graham.","2016RUndercardBoulderCO",2015-10-28
"242","GRAHAM","A permitting structure that allowed them to build the building even faster than they thought they could build it. We welcomed them there. I'm going to take the South Carolina attitude —","2016RUndercardBoulderCO",2015-10-28
"245","HARWOOD","I want to remind candidates, you've got a one-minute limit on the — on the response. But I just want to follow up, Senator Graham. Four years ago, the nominee of your party said that corporations are people, too. If that is true, the question is, do they owe any obligation to the country?","2016RUndercardBoulderCO",2015-10-28
"248","GRAHAM","I think everybody owes an obligation to the country. The ones that I'm most worried about are the 1 percent of Americans in uniform, who have been fighting this war for 14 years. They need a commander in chief who knows what the hell they're doing. My first job as President of the United States is to rebuild the military and use it smartly. Admiral Mullen said the debt is a big threat to our national security. He's right. But people go where they're welcome when it comes to job creation. If I'm President of the United States you will be welcomed in America.","2016RUndercardBoulderCO",2015-10-28
"249","HARWOOD","Senator Graham —","2016RUndercardBoulderCO",2015-10-28
"250","GRAHAM","This will be the place to come —","2016RUndercardBoulderCO",2015-10-28
"251","HARWOOD","— thank you very much.","2016RUndercardBoulderCO",2015-10-28
"252","GRAHAM","And if I'm president of the United States —","2016RUndercardBoulderCO",2015-10-28
"253","HARWOOD","We're moving on.","2016RUndercardBoulderCO",2015-10-28
"254","GRAHAM","— our enemies —","2016RUndercardBoulderCO",2015-10-28
"256","QUICK","You guys are making this just like home. This is just like [inaudible]. [crosstalk]","2016RUndercardBoulderCO",2015-10-28
