"","person","message","debate","date"
"26","PERRY","Well, clearly, opening up a lot of the areas of our domestic energy area. That's the real key. You have got an administration that, by and large, has either by intimidation or over-regulation, put our energy industry and the rest of the economy in jeopardy. And we have got to have a president who is willing to stand up and to clearly pull back those regulations that are strangling the American entrepreneurship that's out there.  And it doesn't make any difference whether it's Obamacare, whether it's Dodd-Frank, or whether it's the tax burden. A president, particularly with the plan that I'm going to be laying out over the next three days -- and I'm not going to lay it out all for you tonight -- Mitt has had six years to be working on a plan. I have been in this for about eight weeks. But, clearly, we're going to be focused on initially the energy industry in this country and making a America again independent, and clearly the place where domestic energy needs to be produced from. ","2012RHanoverNH",2011-10-11
"27","ROSE","Let me introduce my friend Karen -- Karen. ","2012RHanoverNH",2011-10-11
"29","TUMULTY","Congresswoman Bachmann, three years after the financial meltdown, Main Street continues to suffer. People have lost their jobs, they've lost their homes, they've lost their faith in the future. But Wall Street is thriving. The banks not only got bailed out by the government, they have made huge profits, they've paid themselves huge bonuses.  Do you think it's right that no Wall Street executives have gone to jail for the damage they did to the economy? ","2012RHanoverNH",2011-10-11
"30","BACHMANN","I think if you look at the problem with the economic meltdown, you can trace it right back to the federal government, because it was the federal government that demanded that banks and mortgage companies lower platinum level lending standards to new lows. ","2012RHanoverNH",2011-10-11
"31","TUMULTY","But the federal government has also deregulated them. ","2012RHanoverNH",2011-10-11
"36","BACHMANN","It was the federal government that pushed the subprime loans. It was the federal government that pushed the Community Reinvestment Act. It was Congressman Barney Frank and also Senator Chris Dodd that continued to push government-directed housing goals.  They pushed the banks to meet these rules. And if banks failed to meet those rules, then the federal government said we won't let you merge, we won't let you grow.  There's a real problem, and it began with the federal government, and it began with Freddie and Fannie. If you look at these secondary mortgage companies which the federal government is essentially backing 100 percent, they put American mortgages in a very difficult place.  We had artificially low interest rates, Freddie and Fannie were the center of the universe on the mortgage meltdown, and we had lending standards lowered for the first time in American history. The fault goes back to the federal government, and that's what's wrong with Dodd- Frank.  Dodd-Frank institutionalized all of these problems that were put into effect by the federal government. That's why I introduced the bill to repeal Dodd-Frank. It's the Jobs and Housing Destruction Act. ","2012RHanoverNH",2011-10-11
"38","TUMULTY","So, Speaker Gingrich, it sounds like Congresswoman Bachmann does not believe that Wall Street is to blame for the financial mess. You've said that the current protests on Wall Street are, in your words, ""the natural product of Obama's class warfare.""  Does this mean that these people who are out there protesting on Wall Street, across the country, have no grievance? ","2012RHanoverNH",2011-10-11
"44","GINGRICH","No, let me draw a distinction. I think there -- virtually every American has a reason to be angry. I think virtually every American has a reason to be worried.  I think the people who are protesting on Wall Street break into two groups. One is left-wing agitators who would be happy to show up next week on any other topic, and the other is sincere middle-class people who, frankly, are very close to the Tea Party people and actually care.  And you can tell which group is which. The people who are decent, responsible citizens pick up after themselves. The people who are just out there as activists trash the place and walk off and are proud of having trashed it. So let's draw that distinction.  If they want to really change things, the first person to fire is Bernanke, who is a disastrous chairman of the Federal Reserve. The second person to fire is Geithner.  The fact is, in both the Bush and the Obama administrations, the fix has been in. And I think it's perfectly reasonable for people to be angry. But let's be clear who put the fix in: The fix was put in by the federal government.  And if you want to put people in jail -- I want to second what Michele said -- you ought to start with Barney Frank and Chris Dodd and let's look at the politicians who created the environment, the politicians who profited from the environment, and the politicians who put this country in trouble. ","2012RHanoverNH",2011-10-11
"45","ROSE","Clearly you're not saying they should go to jail? ","2012RHanoverNH",2011-10-11
"46","GINGRICH","Well, in Chris Dodd's case, go back and look at the countryside [sic] deals. In Barney Frank's case, go back and look at the lobbyists he was close to at -- at Freddie Mac. All I'm saying is... ","2012RHanoverNH",2011-10-11
"47","UNKNOWN","So if he were... ","2012RHanoverNH",2011-10-11
"50","GINGRICH","Everybody -- everybody in the media who wants to go after the business community ought to start by going after the politicians who have been at the heart of the sickness which is weakening this country and ought to start with Bernanke, who has still not been exposed for the hundreds of billions of dollars.  [applause]  And I'm going to say one last thing. I want to repeat this. Bernanke has in secret spent hundreds of billions of dollars bailing out one group and not bailing out another group. I don't see anybody in the news media demanding the kind of transparency at the Fed that you would demand of every other aspect of the federal government. And I think it is corrupt and it is wrong for one man to have that kind of secret power. ","2012RHanoverNH",2011-10-11
"52","TUMULTY","So, Congressman Paul, where you come down on this?  [laughter] ","2012RHanoverNH",2011-10-11
"57","PAUL","One thing I might -- might say is, we have made some inroads on the Federal Reserve. We passed a bill last year. We got a partial, you know, audit of the Fed. We've learned a whole lot. They were dealing in $15 trillion; $5 trillion went overseas to bail out foreign banks.  But you know what? Congress did a lot. I've worked on it for a good many years. But Bloomberg helped and Fox helped. They had court cases, Freedom of Information Act. And there are some even at this table who didn't think auditing the Fed was such a good idea, that we could call up the Fed and ask them and they would tell us what they're doing. I've been calling them up for 30 years and they never tell me.  [laughter]  But we're getting to the bottom of it. But if you want to understand why we have a problem, you have to understand the Fed, because the cause comes from the business cycle. We shouldn't be asking what to do exactly with the recession -- obviously, we have to deal with that -- but you can't solve -- you can't cure the disease if you don't know the cause of it.  And the cause is the booms. When there are booms and they're artificial, whether it's the CRA or whether it's the Fed, easy credit, when you have bubbles, whether it's the Nasdaq or whether it's the housing bubbles, they burst. And when they do, you have to have corrections. And that's what we're dealing with. And we can do this by building coalitions and not sacrificing any principles. ","2012RHanoverNH",2011-10-11
"58","ROSE","Julianna? ","2012RHanoverNH",2011-10-11
"60","GOLDMAN","Thank you, Charlie.  Senator Santorum, I want to turn to jobs, because you've said that when you were growing up in a steel town in Pennsylvania, 21 percent of the country was involved in manufacturing. Now it's down to 9 percent. Can those jobs ever return? And what would you do to create jobs now? ","2012RHanoverNH",2011-10-11
"64","SANTORUM","Yeah, the jobs can come back if you create a climate for them to be profitable. I -- I -- we have a lot of businesspeople, manufacturers in Pennsylvania. I don't know a single one who wanted to shift their jobs offshore, who didn't want them in their own community to be able to employ people and see the fruits of their labor being benefiting the community that they live in.  What happened was, we became uncompetitive. So we need to be competitive. And that's why I've proposed taking the corporate tax for manufacturers and processors, taking it from 35 percent and eliminating it. Zero percent tax. Allow this to be the -- the manufacturing capital of the world again.  Take that money, $1.2 trillion that's overseas from manufacturers who did send their jobs overseas, bring it back, zero percent tax rate if you invest it in plant and equipment in this country.  Repeal every regulation the Obama administration has put in place that's over $100 million. Repeal them all. May have to replace a few. Let's repeal them all, because they're all antagonistic to businesses, particularly in the manufacturing sector, and do as Governor Perry suggested. We need a bold energy plan -- I put one out there -- to drill -- Pennsylvania, I don't want to brag, Governor, but Pennsylvania is the gas capital of the world right now, not Texas, because we are... ","2012RHanoverNH",2011-10-11
"65","ROSE","All right. ","2012RHanoverNH",2011-10-11
"66","SANTORUM","... we're doing a great job. And energy prices and gas went down by 75 percent. ","2012RHanoverNH",2011-10-11
"67","GOLDMAN","Let me just follow up, because we're in a crisis. So what would you do right now to create jobs? ","2012RHanoverNH",2011-10-11
"70","SANTORUM","The cool thing about my plan, as opposed to Herman's plans and some of the other plans out here, it will pass tomorrow. It would pass tomorrow.  Why? Because industrial state Democrats want those jobs. And they know if we put a pro-manufacturing jobs plan on the table, it will pass over night. We'll get votes from Indiana and Pennsylvania and Ohio and Michigan, all of those states.  So, it's not just proposing a plan that will get things started, that ""The Wall Street Journal"" will smile at -- excuse me, ""The Washington Post"" -- but it's a plan that will actually pass and get things done and bring people together. That's why I put it on the table. ","2012RHanoverNH",2011-10-11
"72","GOLDMAN","Thank you.  I want to follow up now to Governor Huntsman. From the Erie Canal to the Internet, innovation is what has always fueled economic recoveries. So shouldn't the focus now not be on trying to create the innovative jobs of tomorrow? And what do you think those are? ","2012RHanoverNH",2011-10-11
"77","HUNTSMAN","We need to regain our industrial base. I would, first and foremost, disagree with Rick on one measure. That is, Pennsylvania is not the gas capital of the country. Washington, D.C., is the gas capital of the country.  [laughter]  There are two things that critically need to be done for us to stay ahead in this highly-competitive world. And when we lose one or both of them, we lose out to the Chinese and the Indians.  One is maintaining a strong commitment to innovation entrepreneurship and freedom in the marketplace. We have the sense of innovation that no country has been able to replicate. Some have tried, and some will continue to try, but nobody does it like we do here, and that gives rise to high technology, to regular manufacturing jobs across the board. It makes this economy hum when it's working well.  The second part of it is, you need a marketplace like Rick described a moment ago in which you can translate those innovations into products. We are losing our ability to maintain a competitive marketplace today. ","2012RHanoverNH",2011-10-11
"78","ROSE","All right. ","2012RHanoverNH",2011-10-11
"79","HUNTSMAN","That's taxes, that's regulation. We have lost it to others. So, right now, we are not able to translate innovation to the -- we've got to regain the magic of a strong marketplace so that we have the complete package. ","2012RHanoverNH",2011-10-11
"80","ROSE","Karen. ","2012RHanoverNH",2011-10-11
"82","TUMULTY","Congressman Gingrich -- Speaker Gingrich, Medicare is going broke. Consider the fact that half of all Medicare spending is done in the last two years of life, and research that has been done right here at Dartmouth by ""The Dartmouth Atlas"" would suggest that much of this money is going to treatments and interventions that do nothing to prolong life or to improve it. In fact, some of it does the opposite.  Do you consider this wasteful spending? And, if so, should the government do anything about it? ","2012RHanoverNH",2011-10-11
"86","GINGRICH","I am really glad you asked that, because I was just swapping e-mails today with Andy von Eschenbach, who was the head of the National Cancer Institute, the head of the Food & Drug Administration. But before that, he was the provost M.D. Anderson, the largest cancer treatment center in the world.  And he wrote me to point out that the most recent U.S. government intervention on whether or not to have prostate testing is basically going to kill people. So, if you ask me, do I want some Washington bureaucrat to create a class action decision which affects every American's last two years of life, not ever.  I think it is a disaster. I think, candidly, Governor Palin got attacked unfairly for describing what would, in effect, be death panels.  And what Von Eschenbach will tell you if you call him is, the decision to suggest that we not test men with PSA will mean that a number of people who do not have -- who are susceptible to a very rapid prostate cancer will die unnecessarily. And there was not a single urologist, not a single specialist on the board that looked at it. So, I am opposed to class intervention for these things. ","2012RHanoverNH",2011-10-11
"87","TUMULTY","Well, Congresswoman Bachmann, of course no one wants the government to come between a doctor and a patient. But do you think that Americans are getting the most for their money in Medicare spending? And how can we make sure that the money that is being spent is being spent on the treatments and the preventive treatments that do the most? ","2012RHanoverNH",2011-10-11
"91","BACHMANN","We have a big problem today when it comes to Medicare, because we know that nine years from now, the Medicare hospital Part B trust fund is going to be dead-flat broke, so we've got to deal with this issue. I was in the White House with President Obama this summer. We asked him not once, but three times, ""President Obama, what is your plan to save Medicare?""  And the president mumbled and he didn't give an answer the first time, the second time. And the third time the president said something very interesting, Karen. He said Obamacare.  I think that senior citizens across the country have no idea that President Obama plans for Medicare to collapse, and instead everyone will be pushed into Obamacare.  And just like Newt Gingrich said, the way that Obamacare runs, there's a board called IPAB. It's made up of 15 political appointees. These 15 political appointees will make all the major health care decisions for over 300 million Americans. I don't want 15 political appointees to make a health care decision for a beautiful, fragile 85- year-old woman who should be making her own decision. ","2012RHanoverNH",2011-10-11
"93","ROSE","We'll come back to Medicare, as well, and medical issues and then the cost of Medicare in the United States.  I want to talk about advisers and appointees. Tell me, Governor Huntsman, whose advice do you seek on economic issues? And who -- what's the profile of the kind of person you'd like to have advising you in your White House? ","2012RHanoverNH",2011-10-11
"97","HUNTSMAN","I'd like the profile of my own father, who's a great entrepreneur. And he started with nothing, and he built a great business. And my brother now runs that business.  People who have been out in the world, who have actually had their hands on products and manufacturing and know something how to build something from the ground up, that's what this country has always done. It's what we need to continue to do.  But in order to have the right policies in place -- and some I've put forward as governor of the great state of Utah -- tax reform. I created a flat tax in the state of Utah. It took that state to the number-one position in terms of job creation. Regulatory reform and energy independence, I want the kind of people who understand what makes an economy work. But let's be real about what it takes to get into federal government service these days. Who on Earth from the private sector is ever going to want to give up their privacy and enter government service with the background checks, the financial disclosures, and everything else that serve as tremendous disincentives for good people to get into government?  So what we have today, Charlie, we've got a professional governing class of people on one end and then you've got private- sector people on the other. ","2012RHanoverNH",2011-10-11
"98","ROSE","And so what would you do about that to change that, to attract those kind of people so that they would be willing to serve a cross-section of people from every gender... ","2012RHanoverNH",2011-10-11
"99","HUNTSMAN","Let's get back to what we did a generation or two ago, when we were more open in terms of accommodating people from all backgrounds who wanted to take a little bit of their life and serve in government, and then leave, and go back to what it is they did best, whether on the farm, or whether insurance, or whether business, or whether academia. ","2012RHanoverNH",2011-10-11
"100","ROSE","When you mention a flat tax, does that mean that you look with some favor upon 9-9-9 that Herman Cain mentioned at the beginning of this conversation? ","2012RHanoverNH",2011-10-11
"102","HUNTSMAN","I think it's a catchy phrase. In fact, I thought it was the price of a pizza when I first heard about it.  [laughter] ","2012RHanoverNH",2011-10-11
"103","ROSE","Price of a pizza? ","2012RHanoverNH",2011-10-11
"105","HUNTSMAN","Well, here's -- here's -- here's what -- here's what we need. We need something that's doable, doable, doable. And what I have put forward is a tax program that is doable. It actually wipes clean all of the loopholes and the deductions.  This is right out of what the Simpson-Bowles Commission recommended, a bipartisan group of people that took a thoughtful approach to tax reform. ","2012RHanoverNH",2011-10-11
"106","ROSE","Corporate and individual? ","2012RHanoverNH",2011-10-11
"107","HUNTSMAN","Individual, and on the corporate side, phase out all of the corporate welfare, all of the subsidies, because we can't afford it any longer, in a revenue-neutral fashion, buy down the rate from 35 percent to 25 percent, leveling the playing field for businesses big and small, allowing us to be a whole lot more competitive in the second decade of the 21st century. ","2012RHanoverNH",2011-10-11
"108","ROSE","Julianna? ","2012RHanoverNH",2011-10-11
"109","GOLDMAN","OK. We will be coming back to 9-9-9, but first... ","2012RHanoverNH",2011-10-11
"110","CAIN","Wait, wait. ","2012RHanoverNH",2011-10-11
"111","GOLDMAN","Well... ","2012RHanoverNH",2011-10-11
"112","CAIN","He mentioned me. ","2012RHanoverNH",2011-10-11
"113","ROSE","Give him 30 seconds. ","2012RHanoverNH",2011-10-11
"114","CAIN","He mentioned me, and you didn't give me an opportunity to respond. ","2012RHanoverNH",2011-10-11
"115","ROSE","You have that opportunity now. ","2012RHanoverNH",2011-10-11
"116","CAIN","I thank you very much. 9-9-9 will pass, and it is not the price of a pizza, because it has been well-studied and well-developed. It starts with, unlike your proposals, throwing out the current tax code. Continuing to pivot off the current tax code is not going to boost this economy. This is why we developed 9-9-9, 9 percent corporate business flat tax, 9 percent personal income flat tax, and a 9 percent national sales tax. And it will pass, Senator, because the American people want it to pass. ","2012RHanoverNH",2011-10-11
"118","ROSE","This is beginning to sound more like my table.  Julianna? I mean, Karen? ","2012RHanoverNH",2011-10-11
"119","TUMULTY","So, Mr. Cain, who do you turn to for political advice and for economic advice? ","2012RHanoverNH",2011-10-11
"121","CAIN","My advisers come from the American people. Now, I will have some experts. One of my experts that helped me to develop this is a gentleman by the name of Rich Lowery out of Cleveland, Ohio. He is an economist, and he has worked in the business of wealth creation most of his career.  I also have a number of other well-recognized economists that helped me to develop this 9-9-9 plan. It didn't come off a pizza box, no. It was well-studied and well-developed, because it will replace the corporate income tax, the personal income tax, the capital gains tax, the death tax, and most importantly, the payroll tax. ","2012RHanoverNH",2011-10-11
"122","TUMULTY","So -- so who are some of these economists? ","2012RHanoverNH",2011-10-11
"123","CAIN","Rich Lowery out of Cleveland, Texas, is one of the economists that I have used. He's been my lead economist on helping to develop this. ","2012RHanoverNH",2011-10-11
"124","ROSE","Julianna? ","2012RHanoverNH",2011-10-11
"127","GOLDMAN","Thank you.  Governor Romney, it's 2013, and the European debt crisis has worsened. Countries are defaulting. Europe's largest banks are on the verge of bankruptcy. Contagion has spread to the U.S. And the global financial system is on the brink.  What would you do differently than what President Bush, Henry Paulson, and Ben Bernanke did in 2008? ","2012RHanoverNH",2011-10-11
"128","ROMNEY","Well, you're talking about a scenario that's obviously very difficult to imagine. And -- ","2012RHanoverNH",2011-10-11
"129","GOLDMAN","But it's not a hypothetical, because more than half -- ","2012RHanoverNH",2011-10-11
"130","ROMNEY","It is. I'm afraid it is a hypothetical. ","2012RHanoverNH",2011-10-11
"131","GOLDMAN","Governor, it's not -- ","2012RHanoverNH",2011-10-11
"132","ROMNEY","Do you want to explain why it's not a hypothetical? ","2012RHanoverNH",2011-10-11
"133","GOLDMAN","Yes. ","2012RHanoverNH",2011-10-11
"134","ROMNEY","OK. ","2012RHanoverNH",2011-10-11
"135","GOLDMAN","Because more than half the country believes that a financial meltdown is likely in the next several years, and the U.S. banks have at least $700 billion in exposure to Europe. So it's a very real threat, and voters want to know what you would do differently. ","2012RHanoverNH",2011-10-11
"139","ROMNEY","It's still a hypothetical as to what's going to precisely happen in the future. I'm not very good at being omniscient, but I can tell you this, that I am not going to have to call up Timothy Geithner and say, how does the economy work? Because I spent my life in the economy.  I spent my entire career working in the private sector, starting businesses, helping turn around businesses, sometimes successfully and sometimes not. And I know how to make tough decisions and to gather the input from around the country to help make the important decisions that have to be made.  Clearly, if you think the entire financial system is going to collapse, you take action to keep that from happening. In the case of Europe right now, they are looking at what's happening with Greece. Are they going to default on their debt, are they not? That's a decision which I would I would like to have input on if I were president of the United States and try and prevent the kind of contagion that would affect the U.S. banking system and put as at risk.  But I can tell you this -- I'm not interested in bailing out individual institutions that have wealthy people that want to make sure that their shares are worth something. I am interested in making sure that we preserve our financial system, our currency, the banks across the entire country. And I will always put the interest of the American people ahead of the interest of any institution. ","2012RHanoverNH",2011-10-11
"140","GOLDMAN","So would you or would you not be open to another Wall Street bailout? ","2012RHanoverNH",2011-10-11
"141","ROMNEY","No one likes the idea of a Wall Street bailout. I certainly don't. ","2012RHanoverNH",2011-10-11
"143","GOLDMAN","But you said in 2008 that it prevented the collapse of the financial --  [crosstalk] ","2012RHanoverNH",2011-10-11
"147","ROMNEY","There is no question but that the action of President Bush and that Secretary Paulson took was designed to keep not just a collapse of individual banking institutions, but to keep the entire currency of the country worth something and to keep all the banks from closing, and to make sure we didn't all lose our jobs. My experience tells me that we were on the precipice, and we could have had a complete meltdown of our entire financial system, wiping out all the savings of the American people. So action had to be taken.  Was it perfect? No. Was it well implemented? No, not particularly.  Were there some institutions that should not have been bailed out? Absolutely.  Should they have used the funds to bail out General Motors and Chrysler? No, that was the wrong source for that funding. But this approach of saying, look, we're going to have to preserve our currency and maintain America -- and our financial system is essential. ","2012RHanoverNH",2011-10-11
"148","ROSE","So do you agree with Speaker Gingrich about Ben Bernanke, the chairman of the Fed? ","2012RHanoverNH",2011-10-11
"149","ROMNEY","I wouldn't keep Ben Bernanke in office. I would choose someone of my own -- ","2012RHanoverNH",2011-10-11
"150","ROSE","And who might that be? ","2012RHanoverNH",2011-10-11
"152","ROMNEY","Well, I haven't chosen that person. I haven't even chosen a vice president. I'm not sure I'm the nominee yet.  [laughter] ","2012RHanoverNH",2011-10-11
"153","ROSE","Well, we would like to have -- nor has anyone else, but we would like to have an idea of the kind of people that you would have confidence in, in playing this very important role, although Congressman Paul may differ about how important it is. ","2012RHanoverNH",2011-10-11
"155","ROMNEY","Well, I wish we could find Milton Friedman again, although what Milton said to us was -- he said, you know, ""If you took all the economists in America, and you laid them end to end, it would be a good thing."" And I have more respect for economists than that.  The people who help guide my economic policy are Greg Mankiw at Harvard -- ","2012RHanoverNH",2011-10-11
"156","ROSE","Right. ","2012RHanoverNH",2011-10-11
"159","ROMNEY","-- and Glenn Hutchins at Columbia. They were both former chairs of the Council of Economic Advisers. And I didn't always agree with them.  I also talk to a number of business leaders. I talked to people who are currently in the economy, in the financial sector, and in the manufacturing sector. And on the basis of these various viewpoints, I make my decisions. And I believe that drawing on the best minds of this country, including economists, is something that's essential to make sure that we preserve our financial system.  Right now, America is in crisis. We don't need to think about a hypothetical of what happens if Europe explodes and pulls us under, although if that does happen, you want to have someone who is smart, who has experience, who knows how the financial services sector works, who knows how to protect American jobs, and I do. I have done it. ","2012RHanoverNH",2011-10-11
"160","ROSE","And as far as you're concerned, there is no institution, no financial institution, that is too big to fail? ","2012RHanoverNH",2011-10-11
"163","ROMNEY","Well, no. You don't want to bail out anybody.  The idea of trying to bail out an institution to protect the shareholders or to protect a certain interest group, that's a terrible idea. And that shouldn't happen.  You do want to make sure that we don't lose the country and we don't lose our financial system and we don't lose American jobs, and that all the banks don't go under. So, you have to take action very carefully to make sure that you preserve our currency and preserve our financial system. But bailouts of individual institutions? No one has interest in that, I don't think. ","2012RHanoverNH",2011-10-11
"164","GOLDMAN","Mr. Cain, back in 2008, you wrote that the Wall Street bailout was a win-win for the taxpayer. You just heard Governor Romney. Do you agree? ","2012RHanoverNH",2011-10-11
"165","CAIN","Conceptually I made that statement based upon the concept, but I happen to agree with Governor Romney. The way it was administered is where it got off-track. They were discretionary in which institutions they were going to save, rather than apply it equitably, which is what most of us thought was going to be done. The implementation of it is where they got off-track. I didn't agree with it. I don't think Governor Romney agreed with it. So did a lot of us. The implementation was at fault. ","2012RHanoverNH",2011-10-11
"166","ROSE","Housing is considered one of the real problems, in terms of our economy, and getting housing starts up. ","2012RHanoverNH",2011-10-11
"167","GINGRICH","Can I say one thing, before we go to housing? ","2012RHanoverNH",2011-10-11
"168","ROSE","Yes. ","2012RHanoverNH",2011-10-11
"170","GINGRICH","Because I think this is really important. There's a real possibility that you can't have the euro and the Greek economy in the same system. There's a possibility we could have a meltdown in the next year.  The thing that is most obvious looking back is that Paulson and -- and Bernanke and Geithner didn't have a clue, not because they're not smart, but because they were operating in a world that had suddenly changed so radically they didn't know. ","2012RHanoverNH",2011-10-11
"171","ROSE","All right. ","2012RHanoverNH",2011-10-11
"172","GINGRICH","One of the reasons I've said that the Congress should insist that every decision document from 2008, 2009 and 2010 at the Fed be released is we are not any better prepared today for a crisis of that scale because the people who were in that crisis and were wrong are still in charge. And I think we need to learn, what did they do right and what did they do learn -- wrong, precisely for the reason you raised about 2013? ","2012RHanoverNH",2011-10-11
"173","ROSE","Let me go to housing, what you'd do. Would you get the federal government out of housing? Yes? ","2012RHanoverNH",2011-10-11
"174","PAUL","Absolutely. I mean, there's no need to. Look at... ","2012RHanoverNH",2011-10-11
"175","ROSE","No Freddie -- no Freddie Mac, no Fannie Mae, nothing? ","2012RHanoverNH",2011-10-11
"181","PAUL","The -- no. You -- that's where the distortions come. That's where the moral hazard comes from. That's where the malinvestment, overbuild.  It was predictable. You talked about what economists we should look to. And, unfortunately, we've been living with Keynesian economics for many, many decades. And everybody who was right about predicting the bubbles were Austrian economists. They said they were coming. And yet they're also saying -- and I agree with them -- that everything that we're doing right now is wrong.  So what we did with the housing bubble, yes, we had too many houses. It was glaring in our face. The bubble was doomed to burst, and it came because of Fannie Mae, Freddie Mac, easy credit, and also Community Reinvestment Act.  So who -- who got into trouble? The people who did the speculating, the Wall Street, the derivatives market? They got the bailout. They got [inaudible] so what happened to the middle class? They lost their jobs. They lost their houses.  This whole system is all messed up. And you're -- what I hear here is just tinkering with the current system and not looking at something new and different, and it's a free-market economy without a Federal Reserve system, with sound money. If you don't have that, you're going to continue with the bubble.  And this propping up this debt and keeping the correction, you need the correction. You need to get rid of the malinvestment and the debt. ","2012RHanoverNH",2011-10-11
"182","ROSE","All right. Time. ","2012RHanoverNH",2011-10-11
"183","PAUL","The debt is the burden on the economy. ","2012RHanoverNH",2011-10-11
"188","ROSE","All right. We'll be back -- take a break and be right back. Stay with us from Dartmouth, Hanover, New Hampshire.  [commercial break] In order to take the pulse of America, we have partnered with LinkedIn. And they have some hundred 120 billion network professionals. And we've asked them to take part of this by giving us some polling that they have done.  But before I bring some of those results in, I want to take a look at a series of clips we'll show you in this segment, beginning with this one of a former president.  [begin video clip]","2012RHanoverNH",2011-10-11
